City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Sorong,ID,82.85,moderate rain,-0.88,131.25,The Waigo Hotel
273,Surt,LY,79.09,light rain,31.21,16.59,City Hotel
275,Ratnagiri,IN,83.64,broken clouds,16.98,73.3,Hotel Landmark
281,Marzuq,YE,86.85,broken clouds,14.4,46.47,
288,Oussouye,SN,77.59,broken clouds,12.48,-16.55,Auberge du Routard
292,Chirawa,IN,88.68,scattered clouds,28.24,75.64,poonia sadan
293,Jiwani,PK,83.05,overcast clouds,25.05,61.74,Al Mumtaz Transport Jiwani
295,Sigli,ID,84.7,light rain,5.38,95.96,Hotel Riza
296,Marovoay,MG,77.0,scattered clouds,-16.1,46.63,
305,Andros Town,BS,84.2,scattered clouds,24.7,-77.77,Hanks place
308,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
311,Buzmeyin,TM,75.2,overcast clouds,38.05,58.21,
315,Oranjestad,AW,82.83,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
316,Karacabey,TR,75.2,scattered clouds,40.22,28.4,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
317,Auki,SB,83.71,light rain,-8.77,160.7,Auki Motel
318,Yanam,IN,87.8,broken clouds,16.73,82.22,The Regency Hotel
320,Esmeralda,CU,77.0,few clouds,21.85,-78.12,campismo las palmas
321,Vanimo,PG,84.0,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
322,Emerald,AU,78.8,clear sky,-23.53,148.17,The Irish Village
325,Trincomalee,LK,88.59,overcast clouds,8.57,81.23,Welcombe Hotel
326,Mersing,MY,89.6,scattered clouds,2.43,103.84,Timotel Hotel
327,Westport,US,78.8,clear sky,41.14,-73.36,The Westport Inn
330,Zaysan,KZ,81.23,overcast clouds,47.47,84.87,Gostinitsa Aray
331,Dingle,PH,88.48,broken clouds,11.0,122.67,Camp Pasica
332,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
333,Adra,ES,77.0,few clouds,36.75,-3.02,Camping Adra
334,Jahazpur,IN,76.98,light rain,25.62,75.28,Achlaram Devasi Kasti
336,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
339,Goderich,CA,75.0,light rain,43.75,-81.72,Harmony Inn
340,Najran,SA,89.6,broken clouds,17.49,44.13,محمد هادي ال فطيح
342,Saint-Louis,SN,82.35,broken clouds,16.33,-15.0,
344,Independence,US,82.4,clear sky,39.09,-94.42,Higher Ground Hotel
348,Bac Lieu,VN,90.0,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
350,Lupiro,TZ,76.3,scattered clouds,-8.38,36.67,AFRICAN JACCANA EXECUTIVE LODGE
354,Kidal,ML,79.18,scattered clouds,18.44,1.41,
358,Itoman,JP,86.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
359,Ajdabiya,LY,77.74,clear sky,30.76,20.23,فندق التوجان
360,Herat,AF,82.4,few clouds,34.5,62.0,
363,Marsh Harbour,BS,83.64,scattered clouds,26.54,-77.06,Abaco Beach Resort
365,Bonthe,SL,76.44,overcast clouds,7.53,-12.51,Bonthe Holiday Village
366,Rayachoti,IN,86.0,haze,14.05,78.75,Swetha lodge
368,Pokhara,NP,83.55,overcast clouds,28.23,83.98,Hotel View Point
373,Darnah,LY,80.76,clear sky,32.77,22.64,زاوية الرفاعي
375,Butaritari,KI,82.22,overcast clouds,3.07,172.79,Isles Sunset Lodge
377,Morant Bay,JM,82.4,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
381,Ryotsu,JP,86.0,overcast clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
382,Winslow,US,80.6,clear sky,35.02,-110.7,Best Western Plus Winslow Inn
